kind,domain,source,title,published_at,slug,currencies,id,url,created_at,votes,coin
news,thecoinrepublic.com,"{'title': 'The Coin Republic', 'region': 'en', 'domain': 'thecoinrepublic.com', 'path': None, 'type': 'feed'}",Bulls Defend Key Support As BTC Price’s $88K Breakout Looms Ahead,2025-04-14 15:06:01+00:00,Bulls-Defend-Key-Support-As-BTC-Prices-88K-Breakout-Looms-Ahead,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21073142,https://cryptopanic.com/news/21073142/Bulls-Defend-Key-Support-As-BTC-Prices-88K-Breakout-Looms-Ahead?mtm_campaign=API-OFA,2025-04-14T15:06:01Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
media,youtube.com,"{'title': 'Simply Bitcoin', 'region': 'en', 'domain': 'youtube.com', 'path': None, 'type': 'media'}",White House INSIDER REVEALS America's Plan To BUY ALL The Bitcoin?! | EP 1222,2025-04-14 15:02:16+00:00,White-House-INSIDER-REVEALS-Americas-Plan-To-BUY-ALL-The-Bitcoin-EP-1222,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21073141,https://cryptopanic.com/news/21073141/White-House-INSIDER-REVEALS-Americas-Plan-To-BUY-ALL-The-Bitcoin-EP-1222?mtm_campaign=API-OFA,2025-04-14T15:02:16Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,altcoinbuzz.io,"{'title': 'Altcoinbuzz', 'region': 'en', 'domain': 'altcoinbuzz.io', 'path': None, 'type': 'feed'}",Tether Joins OCEAN to Power Decentralized Bitcoin Mining,2025-04-14 14:59:03+00:00,Tether-Joins-OCEAN-to-Power-Decentralized-Bitcoin-Mining,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'USDT', 'title': 'Tether', 'slug': 'tether', 'url': 'https://cryptopanic.com/news/tether/'}, {'code': 'OCEAN', 'title': 'Ocean Protocol', 'slug': 'ocean-protocol', 'url': 'https://cryptopanic.com/news/ocean-protocol/'}]",21072775,https://cryptopanic.com/news/21072775/Tether-Joins-OCEAN-to-Power-Decentralized-Bitcoin-Mining?mtm_campaign=API-OFA,2025-04-14T14:59:03Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,theblock.co,"{'title': 'The Block', 'region': 'en', 'domain': 'theblock.co', 'path': None, 'type': 'feed'}",Tether backs OCEAN mining pool created by controversial Bitcoin Core developer,2025-04-14 14:58:28+00:00,Tether-backs-OCEAN-mining-pool-created-by-controversial-Bitcoin-Core-developer,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'USDT', 'title': 'Tether', 'slug': 'tether', 'url': 'https://cryptopanic.com/news/tether/'}]",21072786,https://cryptopanic.com/news/21072786/Tether-backs-OCEAN-mining-pool-created-by-controversial-Bitcoin-Core-developer?mtm_campaign=API-OFA,2025-04-14T14:58:28Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,crypto-economy.com,"{'title': 'Crypto Economy', 'region': 'en', 'domain': 'crypto-economy.com', 'path': None, 'type': 'feed'}",Tether Quietly Took Over CeFi Lending—Now Controls 70% of the Market!,2025-04-14 14:57:38+00:00,Tether-Quietly-Took-Over-CeFi-LendingNow-Controls-70-of-the-Market,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'USDT', 'title': 'Tether', 'slug': 'tether', 'url': 'https://cryptopanic.com/news/tether/'}, {'code': 'DEFI', 'title': 'DeFi', 'slug': 'de-fi', 'url': 'https://cryptopanic.com/news/de-fi/'}]",21072772,https://cryptopanic.com/news/21072772/Tether-Quietly-Took-Over-CeFi-LendingNow-Controls-70-of-the-Market?mtm_campaign=API-OFA,2025-04-14T14:57:38Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,u.today,"{'title': 'U.Today', 'region': 'en', 'domain': 'u.today', 'path': None, 'type': 'feed'}","Bitcoin Facing 'Hangover' After 'Biggest Pump in History,' Bloomberg's Mike McGlone Says",2025-04-14 14:47:00+00:00,Bitcoin-Facing-Hangover-After-Biggest-Pump-in-History-Bloombergs-Mike-McGlone-Says,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21072672,https://cryptopanic.com/news/21072672/Bitcoin-Facing-Hangover-After-Biggest-Pump-in-History-Bloombergs-Mike-McGlone-Says?mtm_campaign=API-OFA,2025-04-14T14:47:00Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,cointelegraph.com,"{'title': 'CoinTelegraph', 'region': 'en', 'domain': 'cointelegraph.com', 'path': None, 'type': 'feed'}","Solana rallies 20% against Ethereum, but is $300 SOL price within reach?",2025-04-14 14:42:35+00:00,Solana-rallies-20-against-Ethereum-but-is-300-SOL-price-within-reach,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}, {'code': 'SOL', 'title': 'Solana', 'slug': 'solana', 'url': 'https://cryptopanic.com/news/solana/'}]",21072668,https://cryptopanic.com/news/21072668/Solana-rallies-20-against-Ethereum-but-is-300-SOL-price-within-reach?mtm_campaign=API-OFA,2025-04-14T14:42:35Z,"{'negative': 0, 'positive': 1, 'important': 0, 'liked': 1, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 1, 'comments': 0}",bitcoin
news,coincu.com,"{'title': 'coincu', 'region': 'en', 'domain': 'coincu.com', 'path': None, 'type': 'feed'}",SEC Delays Decision on Grayscale's Ethereum ETF Staking Function,2025-04-14 14:41:14+00:00,SEC-Delays-Decision-on-Grayscales-Ethereum-ETF-Staking-Function,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",21072649,https://cryptopanic.com/news/21072649/SEC-Delays-Decision-on-Grayscales-Ethereum-ETF-Staking-Function?mtm_campaign=API-OFA,2025-04-14T14:41:14Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,decrypt.co,"{'title': 'Decrypt', 'region': 'en', 'domain': 'decrypt.co', 'path': None, 'type': 'feed'}",Strategy Buys More Bitcoin as Tariff Exemptions Send Tech Stocks Soaring,2025-04-14 14:39:03+00:00,Strategy-Buys-More-Bitcoin-as-Tariff-Exemptions-Send-Tech-Stocks-Soaring,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",21072636,https://cryptopanic.com/news/21072636/Strategy-Buys-More-Bitcoin-as-Tariff-Exemptions-Send-Tech-Stocks-Soaring?mtm_campaign=API-OFA,2025-04-14T14:39:03Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
news,thestreet.com,"{'title': 'The Street Crypto', 'region': 'en', 'domain': 'thestreet.com', 'path': None, 'type': 'feed'}",Tariff pause sets stage for Spain’s diplomatic push in Washington,2025-04-14 14:35:46+00:00,Tariff-pause-sets-stage-for-Spains-diplomatic-push-in-Washington,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'S', 'title': 'Sonic (prev. FTM)', 'slug': 'sonic-3', 'url': 'https://cryptopanic.com/news/sonic-3/'}]",21072755,https://cryptopanic.com/news/21072755/Tariff-pause-sets-stage-for-Spains-diplomatic-push-in-Washington?mtm_campaign=API-OFA,2025-04-14T14:35:46Z,"{'negative': 0, 'positive': 0, 'important': 0, 'liked': 0, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}",bitcoin
